time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI
1517954400,842.2,848.4,810.7,817.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518040800,817.9,842.8,748,802.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518127200,802.4,879.2,781.3,862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518386400,862,875.8,807.1,866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518472800,866,873.8,822.4,839.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518559200,839.7,920,836.9,904.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518645600,904.9,948.7,904.3,918.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518732000,918.5,1426.2,909,937.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1518991200,937.1,955.4,911,935.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1519077600,935.5,958.5,915.1,915.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1519164000,915.3,915.8,817.2,825.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1519250400,825.7,870.4,789.2,807.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1519336800,807.7,882,787.7,833.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1519596000,833.4,878.2,833.4,865.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1519682400,865.6,895,861.2,880.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.71795505062978
1519768800,880.4,888.1,854.6,865.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.5604323256707
1519855200,865.8,879.8,845.9,870.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.10506438340747
1519941600,870.3,874.3,848.4,856.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.95297716614969
1520200800,856.7,868.6,851.4,853.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.417548681029736
1520287200,853.4,854.3,802.4,815.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.60518943276378
1520373600,815.7,824.6,724.5,750.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.624343704986735
1520460000,750.9,772.5,698.4,701.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.86458558839911
1520546400,701.9,711.7,641.1,700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.690574669836494
1520802000,700,740,676.6,691.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.913468594612766
1520888400,691.9,714,679.8,680.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.81873527188766
1520974800,680.7,702.9,613.1,615.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.30909280130541
1521061200,615.7,620.1,572,605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.519819794689525
1521147600,605,625.5,584.8,613.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.33348214864111
1521406800,613.7,613.7,507.9,541.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.22453721492515
1521493200,541.7,567.1,516.6,559.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.816785342278123
1521579600,559.9,590.1,545.2,560.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.91795211415888
1521666000,560.4,578.3,517.4,527.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.53635279986777
1521752400,527.8,543.6,507.3,524.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.31603568807212
1522011600,524.7,535.4,467.3,474.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.01256263172219
1522098000,474.3,496.9,448.2,459.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.12458374854981
1522184400,459.1,465.1,440.2,446.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.38737996509873
1522270800,446.4,450.3,384.5,385.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.29048157269098
1522357200,385.2,411.2,364.3,385.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.361011124578894
1522616400,385.5,393.6,375.3,377.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.988651761793179
1522702800,377.8,419.4,377.4,414.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.754748883395266
1522789200,414.4,417.1,370.6,381.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.471124262831964
1522875600,381.3,387.2,366.9,377.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.23752185581567
1522962000,377.8,385.9,362.7,369.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.68267640892151
1523221200,369.8,431.2,369.8,390.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.70478528636869
1523307600,390.2,412,390.1,411.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.591062505657575
1523394000,411.3,424.2,408.3,420.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.66750018567451
1523480400,420.5,476.4,413.8,466.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.03811814029408
1523566800,466.8,529,466.7,493.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.63241805110123
1523826000,493.5,537.4,493.5,502.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.089873484983954
1523912400,502.3,520.9,500.9,503.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.22821330546602
1523998800,503.1,523.3,501.1,522.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.57625518591037
1524085200,522.4,564.1,519.2,553.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.48801215930886
1524171600,553.8,595.3,553.8,592.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.67245662551012
