time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI
1640938200,17.63,18.27,16.99,17.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.204335510942734
1641197400,17.6,18.54,16.56,16.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.886002639420994
1641283800,16.57,17.81,16.34,16.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.82541327499881
1641370200,17.07,20.17,16.58,19.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.841193516430124
1641456600,20.29,21.06,19.08,19.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.569481010349534
1641543000,19.85,20.8,18.57,18.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.15809294338592
1641802200,19.58,23.33,19.29,19.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.10198112838099
1641888600,19.62,21,18.2,18.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.18612085908414
1641975000,18.17,18.69,17.36,17.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.98100523208886
1642061400,18.06,20.61,17.45,20.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.030093009628686
1642147800,20.11,22.07,19.05,19.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.765614532608375
1642493400,21.18,23.2,21.18,22.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.589687490832404
1642579800,23.12,23.99,21.85,23.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.774549363259375
1642666200,23.46,25.89,21.68,25.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.12099613301638
1642752600,25.38,29.79,25.31,28.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.39003961317954
1643011800,28.2,38.94,28.02,29.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.87369546503213
1643098200,32.29,35.85,29.13,31.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.61618324172866
1643184600,29.35,33.04,26.9,31.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.65066612954973
1643271000,32.19,33,28.42,30.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.40585311008587
1643357400,30.27,32.82,27.28,27.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.605617380923285
1643616600,28.36,29.41,24.71,24.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.35252280914741
1643703000,24.57,25.33,21.96,21.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.23007578623077
1643789400,21.56,22.73,20.46,22.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.51271853145186
1643875800,22.63,25.81,22.3,24.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.66577663569389
1643962200,23.77,26.26,22.07,23.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.096301681438234
1644221400,24.09,24.82,22.02,22.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.30205589544707
1644307800,23.09,23.48,21.32,21.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.113338088737
1644394200,21.27,21.3,19.93,19.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.040316293769216
1644480600,20.37,24.77,20.18,23.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.59792112544329
1644567000,24.39,30.99,23.33,27.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.125913485709006
1644826200,29.17,32.04,28.33,28.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.78509658922718
1644912600,28.09,28.09,25.33,25.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.6212930546507
1644999000,25.19,27.09,23.88,24.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.61954682209546
1645085400,24.83,28.37,24.76,28.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.55249279688179
1645171800,26.66,29.71,26.38,27.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.743944277267936
1645517400,31.8,32.04,28.4,28.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.588740637450165
1645603800,28.04,31.07,27.2,31.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.20764088005907
1645690200,37.5,37.79,29.45,30.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.40696462866981
1645776600,31.68,32,26.93,27.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.8377154696097
1646035800,32.44,33.51,28.43,30.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.40669673321721
1646122200,29.45,35.19,29.44,33.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.25321754398884
1646208600,34.2,34.41,30.12,30.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.387988219731724
1646295000,30.52,32.01,29.31,30.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.86182638737021
1646381400,31.9,34.65,31.47,31.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.33768370060801
1646640600,35.88,36.55,32.59,36.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.73434539213113
1646727000,36.19,37.52,32.78,35.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.60247443859193
1646813400,33.74,34.12,31.39,32.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.696232125976664
1646899800,33.03,34.03,30.23,30.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.313213439033085
1646986200,30.43,31.04,28.84,30.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.21212107082811
1647241800,31.03,33.18,30.06,31.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.0376175682498
1647328200,33.13,33.83,29.57,29.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.00363070634366
1647414600,29.02,29.8,26.29,26.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.073918673886865
1647501000,26.51,27.47,25.25,25.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.40944280757767
1647587400,26.36,26.82,23.85,23.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.45449329868193
1647846600,25.14,25.36,22.99,23.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.901969133866324
1647933000,24.02,24.02,22.7,22.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.941727900851376
1648019400,23.04,24.03,22.64,23.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.58946953468329
1648105800,23.61,23.79,21.49,21.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.252778650559954
1648192200,21.87,22.86,20.8,20.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.770476197468184
1648451400,22.14,23.33,19.54,19.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.82680349865046
1648537800,19.7,19.73,18.67,18.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.67628882080176
1648624200,19.38,20.51,18.72,19.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.137339442984356
1648710600,19.68,21.48,19.54,20.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.26451924142574
1648797000,20.62,20.86,19.41,19.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.36891512802351
1649056200,20.75,20.78,18.45,18.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.36202084596741
1649142600,18.79,21.57,18.55,21.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.4514028045866
